OBJECTID,OBJECTCLASS,OBJECTSUBCLASS,DESCRIPTION,REPOSITORY,CREATEDDATE,UPDATEDDATE,TRANSFERDATE,EXPIRATIONDATE,RENEWALMODE,RENEWALPERIOD,PREPAIDPERIOD,PAIDUNTILDATE,ACCOUNTINGDATE,FINALIZATIONDATE,FAILUREDATE,NEXTACTION,NEXTACTIONDATE,NAMESERVER,INTERNALNAMESERVER,STATUS,OWNERCONTACT,ADMINCONTACT,TECHCONTACT,BILLINGCONTACT,ROID,TRANSFERLOCK,ADDON-PROXY,ADDON-TRUSTEE,MISSINGPARAMETER,INVALIDPARAMETER,CLAIMKEY,TRANSFER-DIRECTION,TRANSFER-CREATEDDATE,TRANSFER-STATUS,TRANSFER-OLDREGISTRAR,TRANSFER-NEWREGISTRAR,User,SubUser,SubSubUsers
shengel.de,DOMAIN,DE,shengel.de,DENIC-OTE-20332,2009-03-19 18:46:55,2009-11-03 16:24:33,0000-00-00 00:00:00,2026-03-30 18:46:55,AUTORENEW,1Y,0,2026-03-30 18:46:55,2026-03-23 18:46:55,2026-03-29 18:46:55,2026-03-29 18:46:55,pay,2026-03-23 18:46:55,,,ACTIVE,P-SSV28511,P-SSV28511,P-SSV28511,P-SSV28511,,0,,HELLER_OTE_DE,,,,,,,,,test.user,,
lolko.com,DOMAIN,COM,lolko.com,COM-OTE-1API1,2009-05-20 20:13:46,2017-05-22 08:55:13,0000-00-00 00:00:00,2026-05-20 20:20:27,AUTORENEW,1Y,0,2026-05-20 20:20:27,2026-05-15 20:20:27,2026-05-21 20:20:27,2026-07-03 20:20:27,pay,2026-05-15 20:20:27,ns3.hexonet.net ns1.hexonet.net ns2.hexonet.net,ns3.hexonet.net ns2.hexonet.net ns1.hexonet.net ns1.hexonet.net ns1.hexonet.net,ACTIVE clientTransferProhibited,P-SSV28511,P-SSV28511,P-SSV28511,P-SSV28511,,1,0,,,,,,,,,,test.user,,
xn--mxpower-5wa.de,DOMAIN,DE,mäxpower.de,DENIC-OTE-20332,2010-03-03 10:55:42,2010-03-03 10:55:42,0000-00-00 00:00:00,2026-03-13 10:55:42,AUTORENEW,1Y,0,2026-03-13 10:55:42,2026-03-06 10:55:42,2026-03-12 10:55:42,2026-03-12 10:55:42,pay,2026-03-06 10:55:42,ns1.testing.com ns2.testing.com,,ACTIVE,P-MPW100243,P-SSV28511,P-SSV28511,P-SSV28511,,0,,,,,,,,,,,test.user,,
netsolution.com,DOMAIN,COM,netsolution.com,COM-OTE-1API1,2009-07-01 21:06:12,2009-07-01 21:06:12,0000-00-00 00:00:00,2026-07-01 21:06:14,AUTORENEW,1Y,0,2026-07-01 21:06:14,2026-06-26 21:06:14,2026-07-02 21:06:14,2026-08-14 21:06:14,pay,2026-06-26 21:06:14,ns3.hexonet.net ns1.hexonet.net ns2.hexonet.net,ns3.hexonet.net ns2.hexonet.net ns1.hexonet.net ns1.hexonet.net ns1.hexonet.net,ACTIVE,P-LQU30648,P-LQU30648,P-SSV28511,P-SSV28511,,0,0,,,,,,,,,,test.user,,
prodeus.net,DOMAIN,NET,prodeus.net,COM-OTE-1API1,2009-04-21 19:31:08,2016-07-25 07:48:21,0000-00-00 00:00:00,2026-04-21 19:34:13,AUTORENEW,1Y,0,2026-04-21 19:34:13,2026-04-16 19:34:13,2026-04-22 19:34:13,2026-06-04 19:34:13,pay,2026-04-16 19:34:13,,,ACTIVE,P-SSV28511,P-SSV28511,P-SSV28511,P-SSV28511,,0,0,,,,,,,,,,test.user,,
lynter.net,DOMAIN,NET,lynter.net,COM-OTE-1API1,2010-01-26 14:31:05,2011-03-13 14:36:20,0000-00-00 00:00:00,2026-01-26 13:31:05,AUTORENEW,1Y,0,2026-01-26 13:31:05,2026-01-21 13:31:05,2026-01-27 13:31:05,2026-03-11 13:31:05,pay,2026-01-21 13:31:05,ns3.hexonet.net ns1.hexonet.net ns2.hexonet.net,ns3.hexonet.net ns2.hexonet.net ns1.hexonet.net ns1.hexonet.net ns1.hexonet.net,ACTIVE,P-SSV28511,P-SSV28511,P-SSV28511,P-SSV28511,,0,0,,,,,,,,,,test.user,,
halinet.com,DOMAIN,COM,halinet.com,COM-OTE-1API1,2009-05-20 18:00:07,2016-07-21 09:50:06,0000-00-00 00:00:00,2026-05-20 18:06:47,AUTORENEW,1Y,0,2026-05-20 18:06:47,2026-05-15 18:06:47,2026-05-21 18:06:47,2026-07-03 18:06:47,pay,2026-05-15 18:06:47,ns3.hexonet.net ns1.hexonet.net ns2.hexonet.net,ns3.hexonet.net ns2.hexonet.net ns1.hexonet.net ns1.hexonet.net ns1.hexonet.net,ACTIVE clientTransferProhibited,P-SSV28511,P-SSV28511,P-SSV28511,P-SSV28511,,1,0,,,,,,,,,,test.user,,
myburgers.net,DOMAIN,NET,myburgers.net,COM-OTE-1API1,2009-07-17 08:24:31,2016-08-05 10:40:48,0000-00-00 00:00:00,2026-07-17 08:24:33,AUTORENEW,1Y,0,2026-07-17 08:24:33,2026-07-12 08:24:33,2026-07-18 08:24:33,2026-08-30 08:24:33,pay,2026-07-12 08:24:33,ns2.ispapi.net ns1.ispapi.net,ns1.ispapi.net ns2.ispapi.net,ACTIVE,P-DQS30901,P-DQS30901,P-DQS30901,P-DQS30901,,0,0,,,,,,,,,,test.user,,
schwab.tv,DOMAIN,TV,schwab.tv,VNDS-OTE-1API1,2010-02-24 12:47:28,2021-02-25 08:00:16,0000-00-00 00:00:00,2026-02-23 12:47:28,AUTORENEW,1Y,0,2026-02-23 12:47:28,2026-02-23 12:47:28,2026-04-07 12:47:28,2026-04-08 12:47:28,pay,2026-02-23 12:47:28,ns3.hexonet.net ns1.hexonet.net ns2.hexonet.net,ns3.hexonet.net ns2.hexonet.net ns1.hexonet.net ns1.hexonet.net ns1.hexonet.net,ACTIVE,P-SSV28511,P-SSV28511,P-SSV28511,P-SSV28511,,0,0,,,,,,,,,,test.user,,
sdfsdffsdfsd.de,DOMAIN,DE,sdfsdffsdfsd.de,DENIC-OTE-20332,2009-10-23 09:52:22,2009-10-23 09:52:22,0000-00-00 00:00:00,2026-11-03 09:52:22,AUTORENEW,1Y,0,2026-11-03 09:52:22,2026-10-27 09:52:22,2026-11-02 09:52:22,2026-11-02 09:52:22,pay,2026-10-27 09:52:22,ns3.hexonet.net ns1.hexonet.net ns2.hexonet.net,ns3.hexonet.net ns2.hexonet.net ns1.hexonet.net ns1.hexonet.net ns1.hexonet.net,ACTIVE,P-SSV28511,P-SSV28511,P-SSV28511,P-SSV28511,,0,,,,,,,,,,,test.user,,
